Modelo,Combinación de Características,Puntaje R^2
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, alcohol",0.37503019483306166
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates",0.3839608617286069
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, alcohol",0.3656430520985323
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol",0.41475787486052695
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, density, pH, sulphates",0.35677390781907126
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, density, pH, alcohol",0.3772746717019998
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, density, sulphates, alcohol",0.39852524246845766
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, pH, sulphates, alcohol",0.4008927645695648
RandomForestRegressor,"fixed acidity, citric acid, total sulfur dioxide, density, pH, sulphates",0.4259978370955283
RandomForestRegressor,"fixed acidity, citric acid, total sulfur dioxide, density, pH, alcohol",0.38853276113638313
RandomForestRegressor,"fixed acidity, citric acid, total sulfur dioxide, density, sulphates, alcohol",0.40636003776499874
RandomForestRegressor,"fixed acidity, citric acid, total sulfur dioxide, pH, sulphates, alcohol",0.4404084112951677
RandomForestRegressor,"fixed acidity, citric acid, density, pH, sulphates, alcohol",0.38571205905072525
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density",0.22907492919062755
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH",0.1924969873830572
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates",0.34814096644064885
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, alcohol",0.38155488799244697
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, density, pH",0.21481541498583812
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, density, sulphates",0.37429027551283145
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, density, alcohol",0.34412057334134427
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, pH, sulphates",0.2988772809200927
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, pH, alcohol",0.37354596172002397
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol",0.3610711526907562
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, density, pH",0.26469322804909456
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, density, sulphates",0.4180800961290876
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, density, alcohol",0.3650190369925328
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates",0.3651316453523302
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, pH, alcohol",0.36907678310874603
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol",0.3847057248304866
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, density, pH, sulphates",0.37599423225474193
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, density, pH, alcohol",0.3276764569564843
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, density, sulphates, alcohol",0.3545590936400308
RandomForestRegressor,"fixed acidity, residual sugar, chlorides, pH, sulphates, alcohol",0.3603037679169169
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH",0.1867968071410181
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates",0.38186250107286934
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, alcohol",0.34605743712986003
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates",0.3905882756844906
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, alcohol",0.3565734100077248
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol",0.3855807741824736
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, density, pH, sulphates",0.34551362114839934
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, density, pH, alcohol",0.3492384859668697
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, density, sulphates, alcohol",0.3547573942150888
RandomForestRegressor,"fixed acidity, residual sugar, free sulfur dioxide, pH, sulphates, alcohol",0.3765298086001202
RandomForestRegressor,"fixed acidity, residual sugar, total sulfur dioxide, density, pH, sulphates",0.392177426830315
RandomForestRegressor,"fixed acidity, residual sugar, total sulfur dioxide, density, pH, alcohol",0.3470775040769032
RandomForestRegressor,"fixed acidity, residual sugar, total sulfur dioxide, density, sulphates, alcohol",0.3726516865505106
RandomForestRegressor,"fixed acidity, residual sugar, total sulfur dioxide, pH, sulphates, alcohol",0.3945032014419363
RandomForestRegressor,"fixed acidity, residual sugar, density, pH, sulphates, alcohol",0.351999862672732
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH",0.19304794438245643
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates",0.4239208994936057
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, alcohol",0.34284288043944733
RandomForestRegressor,"fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates",0.38141756072440136
